sku;descripcion;descripcion2;long_desc;img_ambiente;img;Cod_producto;Patas regulables (sí/no);Para uso interior (sí/no);Densidad de la espuma del respaldo;Plegable (sí/no);Acabado de las patas;Material de las patas;Reclinable (sí/no);Material del relleno del asiento;Número de plazas;País de origen;Para uso bajo cubierto (sí/no);Para uso exterior (sí/no);Materiales;Asiento acolchado (sí/no);Construcción de la estructura;Acabado principal;Tipo y especificación del tejido;Composición del tejido;Material del relleno;Densidad de la espuma;Forma del producto;Material principal;Color principal;Temporada;Año de publicación;Fabricado con materiales reciclados (sí/no);Fabricado con materiales naturales (sí/no);Colores;Temporada de compra;Tipo de silla;Color de la pata;Tapizado (sí/no);Color del tapizado;Tapizado abotonado (sí/no);Material principal de las patas;Tipo de tapizado del respaldo;Material principal del reposabrazos;Estilo principal;Tipo de base/pata;Estancias;Porcentaje de materiales reciclados;Porcentaje de materiales naturales;Resistencia a la formación de bolitas;Solidez del color a la luz;Código de muestra de color
010108 1230190090 15;ILMA Plan. Espuma 1230x1900x90 15;15;ILS Plan. Espuma 1230x1900x90 15;;http://intranet.juliagrup.com/GestionDocumental/Documents/010108 1230190090 15/010108 1230190090 15·3A.jpg;010108 1230190090 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10117;ILMA Espuma asiento banqueta Yola;la;ILS Espuma asiento banqueta Yola;;http://intranet.juliagrup.com/GestionDocumental/Documents/010117/010117·3A.jpg;10117;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010118 160200;ILMA Cj. gomas preparado canapé Y006 160x200; Y006 160x200;ILS Cj. gomas preparado canapé Y006 160x200;;http://intranet.juliagrup.com/GestionDocumental/Documents/010118 160200/010118 160200·3A.jpg;010118 160200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010118 180200;ILMA Cj. gomas preparado canapé Y006 180x200; Y006 180x200;ILS Cj. gomas preparado canapé Y006 180x200;;http://intranet.juliagrup.com/GestionDocumental/Documents/010118 180200/010118 180200·3A.jpg;010118 180200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010119 5060;ILMA Relleno Y023 cd 50x70;;ILS Relleno Y023 cd 50x70;;http://intranet.juliagrup.com/GestionDocumental/Documents/010119 5060/010119 5060·3A.jpg;010119 5060;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010119 5060P;ILMA Relleno Y023 50x60 Tacto plumón;lumón;ILS Relleno Y023 50x60 Tacto plumón;;http://intranet.juliagrup.com/GestionDocumental/Documents/010119 5060P/010119 5060P·3A.jpg;010119 5060P;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010120 CU;ILMA Cuadrado espuma pieza suelta sofá Y080;ta sofá Y080;ILS Cuadrado espuma pieza suelta sofá Y080;;http://intranet.juliagrup.com/GestionDocumental/Documents/010120 CU/010120 CU·3A.jpg;010120 CU;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010120 RP;ILMA Espuma + guata respaldo base sofá Y080;se sofá Y080;ILS Espuma + guata respaldo base sofá Y080;;http://intranet.juliagrup.com/GestionDocumental/Documents/010120 RP/010120 RP·3A.jpg;010120 RP;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010121 BUT;ILMA Espuma 60x52x5 20k/dura pegado a bisel central;gado a bisel central;ILS Espuma 60x52x5 20k/dura pegado a bisel central;;http://intranet.juliagrup.com/GestionDocumental/Documents/010121 BUT/010121 BUT·3A.jpg;010121 BUT;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010208 1370190070 15;ILMA Plancha Espuma 1370x1900x70 15;0 15;ILS Plancha Espuma 1370x1900x70 15;;http://intranet.juliagrup.com/GestionDocumental/Documents/010208 1370190070 15/010208 1370190070 15·3A.jpg;010208 1370190070 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010210 BR10 25;ILMA Cj. Espuma Brazo 10 Atenas 120/140 25kg; 120/140 25kg;ILS Cj. Espuma Brazo 10 Atenas 120/140 25kg;;http://intranet.juliagrup.com/GestionDocumental/Documents/010210 BR10 25/010210 BR10 25·3A.jpg;010210 BR10 25;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10216;ILMA Cj. espuma butaca Fyna;;ILS Cj. espuma butaca Fyna;;http://intranet.juliagrup.com/GestionDocumental/Documents/010216/010216·3A.jpg;10216;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010218 140;ILMA Cabecero espuma cama Y005 140cm;140cm;ILS Cabecero espuma cama Y005 140cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010218 140/010218 140·3A.jpg;010218 140;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10219;Asiento 30kg puff Bogart;;Asiento 30kg puff Bogart;;http://intranet.juliagrup.com/GestionDocumental/Documents/010219/010219·3A.jpg;10219;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G006;ILMA Espuma+guata prep. y062 brazo G006;azo G006;ILS Espuma+guata prep. y062 brazo G006;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G006/010220 G006·3A.jpg;010220 G006;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G012;ILMA Espuma+guata prep. y062 respaldo G012;spaldo G012;ILS Espuma+guata prep. y062 respaldo G012;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G012/010220 G012·3A.jpg;010220 G012;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G013;ILMA Espuma+guata prep. y062 brazo G013;azo G013;ILS Espuma+guata prep. y062 brazo G013;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G013/010220 G013·3A.jpg;010220 G013;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 ST;ILMA Almohada asiento mod.Y062;;ILS Almohada asiento mod.Y062;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 ST/010220 ST·3A.jpg;010220 ST;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 TA;ILMA Tapa asiento fibra plumón sofá mod.Y062;sofá mod.Y062;ILS Tapa asiento fibra plumón sofá mod.Y062;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 TA/010220 TA·3A.jpg;010220 TA;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010221 BS;ILMA Base Guata 250g comp. m150 Y178-01; Y178-01;ILS Base Guata 250g comp. m150 Y178-01;;http://intranet.juliagrup.com/GestionDocumental/Documents/010221 BS/010221 BS·3A.jpg;010221 BS;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010221 ST;ILMA Espumas asiento Módulo 80 Y178-02;Y178-02;ILS Espumas asiento Módulo 80 Y178-02;;http://intranet.juliagrup.com/GestionDocumental/Documents/010221 ST/010221 ST·3A.jpg;010221 ST;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010308 0800190070 15;ILMA Plancha Espuma 800x1900x70 15k; 15k;ILS Plancha Espuma 800x1900x70 15k;;http://intranet.juliagrup.com/GestionDocumental/Documents/010308 0800190070 15/010308 0800190070 15·3A.jpg;010308 0800190070 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010310 BR10;ILMA Cj. Espuma Brazo 10 Azores 140/160; 140/160;ILS Cj. Espuma Brazo 10 Azores 140/160;;http://intranet.juliagrup.com/GestionDocumental/Documents/010310 BR10/010310 BR10·3A.jpg;010310 BR10;;;;;;;;;;PT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
